UWI,WELLNAME,CYCLE_INDEX,STARTTIME,GAS_PER_DAY,PLUNGER_SPEED,FLOW_RATE_END_FLOW,AFTERFLOW_MINS,CL_END_FLOW,TUBING_PRESSURE_AVG_FLOW,CASING_PRESSURE_AVG_FLOW,WELL_VENT,LOAD_RATIO_PRIOR_OPEN,CSG_OVER_LINE,CYCLE_LENGTH,SHUTIN_LENGTH,FLOW_LENGTH,CAS_TUB_DIFF_MAX,CAS_TUB_DIFF_AVG,CAS_TUB_DIFF_MIN,CAS_TUB_DIFF_LAST,TUB_LINE_DIFF_MAX,TUB_LINE_DIFF_AVG,TUB_LINE_DIFF_MIN,AVG_BHP,AVG_BHP_SI,AVG_BHP_FLOW,GAS_PER_CYCLE,PLUNGER_TRAVEL_TIME,AVG_SLUG_HEIGHT,WELL_VENT_SEC,MIN_DP,MAX_DP,LEAKING_VALVE,LIFT_MINS,PLUNGER_FALL_TIME,AVG_TUB_MIN_LINE_FLOW_EXCESS,CASING_FLAT_MINS,FALL_EST_DIFF_MINS,PLUNGER_FALL_EXCESS,CSG_TUB_DIFF_MAX_SI,AVG_DP_FLOW,SLUG_ARRIVAL,SLUG_SIZE_LT_MAX,ARRIVAL_SENSOR_FAIL,CONSEC_NON_ARRIVALS,CAS_TUB_DIFF_MAX_SI,MAX_SLUG_SIZE,TUB_LT_LINE_SI_MINS,DP_FLOW_GT_115_MINS,DP_FLOW_GT_MACH_MINS,TUB_LINE_DIFF_MAX_SI,PLUNGER_FALL_EST_LIQUID,PLUNGER_FALL_EST_GAS,PLUNGER_FALL_EST_TOTAL_CSN,CSG_BUILD_RATE,SLUG_CHANGE_AT_OPEN,CSG_RISE_TOTAL_SI,LINE_PRESSURE_AVG_FLOW,SLUG_RATE_PER_DAY,OFF_TIME_LONG_PCENT,SLUG_SIZE_AT_OPEN,SLUG_PCENT_MAX_OPEN,TUB_CAS_ANNULUS_BRIDGE,PERCENT_ON_TIME_VENTING,LINE_PRESSURE_AVG_SI,CASING_DIFF,LINE_PRESSURE_JUMP_AT_OPEN,ARRIVAL_FAST_DRY,AVG_CSG_MIN_LINE,AVG_CSG_MIN_LINE_SHUTIN,GAS_IN_TUBING_BEFORE_OPEN,GAS_PRODUCED_BEFORE_ARRIVAL,GAS_RATIO_PRODUCED_OVER_STORED,FDT,FSPUDDATE,CASING_ID,TUBING_ID,TUBING_LENGTH_FT,CSG_LINE_DIFF_MAX_SI,PERCENT_CL_END_FLOW
3003922192,SAN JUAN 30-5 UNIT #14A,13,2021-01-11 09:31:15,34.74,1262.82,274.4,1.0,221.92,64.1,104.0,,0.06,1.91,2437.0,2100.0,337.0,39.9,39.6,39.1,2.8,2.1,2.1,2.1,120.11,120.43,117.86,0.98,277.0,7.4,,17.4,79.4,0,4.6,19.0,2.1,8.25,6.1,1.21,28.1,39.98,1,1.0,0,0,28.1,507.0,0.0,0.0,1.0,49.6,0.6,23.3,28.9,0.1,-0.17,7.1,62.0,1.06,0.17,78.0,0.15,0,,95.3,,6.9,0.0,48.24,49.09,0.854,0.78,0.91,44205.3967,29666.0,6.456,1.995,5830,52.8,124.0
3003922192,SAN JUAN 30-5 UNIT #14A,14,2021-01-11 10:11:52,32.35,1433.61,330.7,1.0,216.8,61.2,104.96,,0.04,2.01,2404.0,2100.0,304.0,43.2,43.07,43.0,2.1,2.7,2.7,2.7,120.17,120.35,118.95,0.9,244.0,5.3,,27.9,67.2,0,4.1,20.0,2.7,8.87,6.3,1.22,29.3,35.33,1,1.0,0,0,29.3,651.0,0.0,0.0,1.0,52.8,0.4,23.3,28.7,0.2,-0.19,7.1,58.5,0.72,0.17,58.0,0.09,0,,93.5,,19.0,0.0,48.77,49.47,0.862,0.592,0.69,44205.42491,29666.0,6.456,1.995,5830,54.9,153.0
3003922192,SAN JUAN 30-5 UNIT #14A,15,2021-01-11 10:51:56,36.0,1325.0,261.9,1.0,217.15,62.05,104.58,,0.07,1.92,2424.0,2100.0,324.0,42.8,42.1,41.6,3.4,2.5,2.3,2.1,120.06,120.32,118.52,1.01,264.0,7.8,,15.5,62.3,0,4.4,10.0,2.3,8.93,6.1,1.21,31.2,30.02,1,1.0,0,0,31.2,648.0,0.0,0.0,1.0,48.9,0.6,23.3,28.9,0.1,-0.19,7.3,59.75,1.07,0.17,94.0,0.15,0,,94.3,,4.3,0.0,50.84,51.7,0.85,0.749,0.88,44205.45273,29666.0,6.456,1.995,5830,54.1,121.0
3003922192,SAN JUAN 30-5 UNIT #14A,16,2021-01-11 11:32:20,37.99,1185.76,211.7,1.0,217.15,62.05,103.93,,0.08,1.9,2456.0,2100.0,356.0,42.1,41.55,40.9,4.4,2.1,1.85,1.6,120.07,120.46,117.79,1.08,295.0,9.7,,11.1,93.2,0,4.9,19.0,1.85,8.33,5.9,1.2,30.3,37.42,1,1.0,0,0,30.3,504.0,0.0,0.0,1.0,47.3,0.8,23.3,29.1,0.15,-0.08,7.3,60.2,1.41,0.17,122.0,0.24,0,,98.8,,5.8,0.0,48.21,49.01,0.843,0.935,1.11,44205.48079,29666.0,6.456,1.995,5830,51.7,97.0
3003922192,SAN JUAN 30-5 UNIT #14A,17,2021-01-11 12:13:16,43.18,0.0,93.2,4.3,213.56,60.91,102.91,,0.06,1.92,2821.0,2100.0,721.0,42.8,41.63,39.9,2.6,2.2,1.45,1.1,119.48,120.46,116.62,1.41,464.0,6.9,,2.6,90.5,0,7.7,19.0,1.45,8.27,6.2,1.22,28.7,3.42,1,1.0,1,1,28.7,125.0,0.0,0.0,1.0,49.7,0.5,23.3,28.8,0.1,-0.19,7.1,59.46,0.92,0.17,72.0,0.58,0,,97.6,,5.6,,47.78,49.33,0.855,,,44205.50921,29666.0,6.456,1.995,5830,52.8,44.0
3003922192,SAN JUAN 30-5 UNIT #14A,18,2021-01-11 13:00:17,27.68,1262.82,281.9,1.0,222.62,64.5,104.78,,0.06,1.9,3340.0,3003.0,337.0,39.4,39.23,39.0,2.6,2.5,2.5,2.5,121.04,121.27,118.75,1.07,277.0,6.9,,18.3,110.2,0,4.6,11.0,2.5,15.33,20.9,1.71,31.4,52.4,1,1.0,0,0,31.4,676.0,0.0,0.0,1.0,49.5,1.0,23.2,29.2,0.13,-0.26,7.6,62.0,0.78,0.42,72.0,0.11,0,,100.1,,5.2,0.0,48.36,48.91,0.861,0.871,1.01,44205.54186,29666.0,6.456,1.995,5830,52.1,127.0
3003922192,SAN JUAN 30-5 UNIT #14A,19,2021-01-11 13:55:57,32.82,1371.76,272.7,1.0,219.46,62.7,104.16,,0.02,1.89,2843.0,2528.0,315.0,41.9,41.17,40.5,1.6,2.2,2.2,2.2,121.06,121.41,118.04,1.08,255.0,2.8,,17.0,79.8,0,4.3,19.0,2.2,14.08,13.2,1.46,29.5,46.15,1,1.0,0,0,29.5,593.0,0.0,0.0,1.0,50.1,0.6,23.3,28.9,0.05,-0.12,7.8,60.5,0.3,0.31,44.0,0.07,0,,95.3,,4.3,0.0,47.78,48.27,0.878,0.825,0.94,44205.58052,29666.0,6.456,1.995,5830,52.8,124.0
3003922192,SAN JUAN 30-5 UNIT #14A,20,2021-01-11 14:43:20,40.72,1249.29,290.2,1.0,218.93,61.8,103.93,,0.06,1.93,2440.0,2100.0,340.0,41.9,41.43,41.2,2.9,2.5,2.3,2.1,120.46,120.92,117.79,1.15,280.0,7.4,,16.5,110.7,0,4.7,13.0,2.3,10.33,6.1,1.21,29.2,45.1,1,1.0,0,0,29.2,673.0,0.0,0.0,1.0,49.7,0.6,23.3,28.9,0.1,-0.24,7.2,59.5,1.06,0.17,80.0,0.12,0,,95.9,,5.6,0.0,49.09,49.97,0.855,1.015,1.19,44205.61343,29666.0,6.456,1.995,5830,52.6,133.0
3003922192,SAN JUAN 30-5 UNIT #14A,21,2021-01-11 15:24:00,33.03,1281.32,275.5,1.0,220.52,63.9,104.68,,0.08,1.9,2433.0,2100.0,333.0,41.5,40.7,39.9,4.0,2.5,2.3,2.1,120.41,120.72,118.64,0.93,273.0,9.2,,15.9,58.3,0,4.6,8.0,2.3,10.0,6.0,1.21,28.8,28.38,1,1.0,0,0,28.8,158.0,0.0,0.0,0.0,47.7,0.7,23.3,29.0,0.08,-0.17,6.7,61.6,1.42,0.17,111.0,0.7,0,,99.3,,5.8,0.0,47.58,48.17,0.846,0.737,0.87,44205.64167,29666.0,6.456,1.995,5830,51.9,125.0
3003922192,SAN JUAN 30-5 UNIT #14A,22,2021-01-11 16:04:33,44.76,1290.77,229.6,1.0,217.87,62.35,104.1,,0.06,1.97,2432.0,2100.0,332.0,42.3,41.4,40.9,2.8,2.6,2.3,2.0,120.17,120.54,117.98,1.26,271.0,6.9,,12.3,165.1,0,4.5,19.0,2.3,9.55,6.1,1.21,30.3,56.7,1,1.0,0,0,30.3,651.0,0.0,0.0,1.0,50.8,0.6,23.3,28.9,0.1,-0.26,7.1,60.05,1.07,0.17,78.0,0.12,0,,97.2,,7.4,0.0,48.19,48.87,0.854,1.119,1.31,44205.66983,29666.0,6.456,1.995,5830,53.6,105.0
